City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
日喀则,46,32,0,0.6,2,94,79,3
日喀则地区,29,6,27,0.35,2,68,56,5
日照,58,26,63,0.6,20,124,68,10
荣成,54,22,37,0.4,12,123,103,8
乳山,43,23,42,0.6,17,125,69,13
三门峡,117,59,182,0.93,27,112,84,23
三明,37,18,36,0.77,11,86,44,13
三沙,30,7,20,0.3,30,51,58,6
三亚,41,25,40,0.6,7,90,68,2
上海,34,23,33,0.56,35,47,26,7
商洛,108,80,137,1.0,22,135,104,10
商丘,67,37,82,1.15,23,121,68,15
上饶,85,49,118,0.83,16,100,34,32
山南,43,10,30,0.6,12,95,85,6
山南地区,40,5,21,0.45,6,65,79,4
汕头,52,24,52,0.67,14,121,65,12
汕尾,63,30,74,0.67,15,125,95,10
韶关,77,56,74,0.95,23,97,55,17
绍兴,76,36,100,0.57,31,59,33,7
邵阳,76,55,72,1.1,25,74,49,29
沈阳,74,53,90,1.02,49,116,70,27
深圳,46,28,45,0.62,21,109,69,8
石河子,50,24,49,0.75,35,63,60,12
石家庄,60,31,68,0.84,25,98,55,28
十堰,100,67,147,1.0,31,77,81,11
石嘴山,353,116,461,0.65,19,96,64,31
寿光,95,0,4,8.9,29,195,63,19
双鸭山,45,21,41,0.55,10,112,89,7
朔州,130,55,208,0.98,23,139,109,18
四平,148,113,158,0.77,27,132,66,21
松原,79,48,106,0.25,8,111,90,1
绥化,149,114,220,0.65,15,127,91,6
遂宁,68,43,83,0.98,31,46,17,15
随州,115,86,142,1.13,15,117,87,8
宿迁,67,48,65,0.75,25,99,69,7
苏州,67,32,82,0.64,47,29,10,6
宿州,109,81,99,0.67,38,68,85,15
塔城地区,45,16,0,0.6,12,0,88,22
泰安,78,48,103,1.5,38,83,45,37
太仓,56,37,59,1.1,42,35,20,14
太原,134,90,216,1.2,39,124,66,25
台州,35,19,34,0.37,12,80,54,8
泰州,53,36,49,0.68,14,53,38,5
唐山,62,38,71,1.0,29,97,36,21
天津,58,35,64,1.06,45,74,36,22
天水,66,29,79,0.63,31,97,83,7
铁岭,81,59,109,0.73,24,86,43,17
铜川,102,71,151,1.27,16,141,109,21
通化,104,77,128,0.8,21,128,56,15
通辽,56,29,59,0.6,15,113,66,11
铜陵,116,87,139,1.47,44,32,24,16
铜仁地区,45,20,44,0.7,7,90,62,10
吐鲁番地区,56,33,59,0.7,32,47,32,12
瓦房店,65,46,59,0.4,16,123,59,7
潍坊,86,37,120,0.68,32,99,48,14
威海,66,40,79,0.67,37,90,60,12
渭南,420,64,519,0.88,25,95,70,14
文登,56,19,59,0.6,23,118,67,5
文山州,59,37,66,0.85,15,103,76,5
温州,43,18,42,0.5,14,97,39,10
乌海,174,72,295,0.43,7,97,93,5
武汉,116,87,144,1.45,42,126,61,15
芜湖,81,59,92,1.05,30,27,16,5
吴江,78,35,104,0.73,44,35,20,6
五家渠,40,18,39,0.8,14,82,32,12
乌兰察布,124,55,195,0.45,27,134,103,29
乌鲁木齐,62,26,72,0.76,28,75,38,12
武威,87,61,122,0.45,10,103,71,4
无锡,61,42,70,0.83,31,39,19,6
吴忠,196,67,339,0.2,6,75,68,6
梧州,92,68,82,1.3,32,92,41,11
厦门,44,12,43,0.5,16,78,51,5
西安,134,75,216,1.33,41,102,77,18
湘潭,67,48,56,0.64,23,72,45,13
湘西州,43,30,37,0.4,18,50,34,3
襄阳,97,61,141,0.73,27,82,60,17
咸宁,69,49,73,0.88,18,163,63,7
咸阳,126,94,199,1.13,27,114,88,17
孝感,108,80,121,1.35,11,103,72,10
锡林郭勒盟,98,25,143,0.3,11,112,88,19
兴安盟,46,18,45,0.37,4,104,58,8
邢台,64,31,76,0.8,34,82,50,24
西宁,103,67,153,1.35,25,56,58,12
新乡,58,26,63,1.0,28,107,56,24
信阳,106,79,137,0.8,18,100,80,14
新余,106,79,141,1.3,38,99,32,63
忻州,85,39,117,1.13,40,71,48,42
西双版纳州,83,55,114,1.0,32,64,25,6
宣城,80,52,107,0.87,31,47,33,5
许昌,72,32,92,1.0,24,97,63,16
徐州,73,52,93,0.67,27,107,74,19
雅安,91,67,102,0.75,28,51,57,30
延安,81,45,109,1.4,23,132,58,13
延边州,62,37,72,0.63,14,150,72,11
盐城,46,26,45,0.58,20,70,77,10
阳江,58,24,63,0.7,5,115,87,8
阳泉,80,31,107,1.07,45,76,43,36
扬州,68,44,84,0.53,21,33,27,4
烟台,90,47,127,0.72,52,74,33,19
宜宾,104,77,120,1.23,67,28,11,56
宜昌,64,34,76,1.18,69,15,23,14
宜春,87,64,98,0.98,35,76,27,53
伊春,49,32,48,0.25,6,115,94,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,36,24,35,0.83,14,85,53,11
银川,213,86,358,0.57,17,93,71,32
营口,163,123,173,2.68,53,108,45,60
鹰潭,59,32,65,0.58,24,133,44,18
义乌,28,8,27,0.45,10,88,37,5
宜兴,58,40,59,1.3,36,44,18,7
益阳,50,20,49,0.98,16,77,59,17
永州,99,74,88,0.92,29,52,51,12
岳阳,74,53,90,1.2,33,44,24,11
玉林,67,48,74,0.93,12,109,50,30
榆林,105,75,157,1.35,18,136,121,12
运城,105,67,158,0.95,16,135,117,13
云浮,54,35,56,0.67,16,86,31,9
玉树州,79,42,105,0.3,8,82,69,4
玉溪,89,45,126,1.27,24,118,35,12
枣庄,76,28,100,0.52,24,113,84,21
张家港,72,52,86,1.35,25,44,23,9
张家界,52,30,52,0.8,21,99,66,7
张家口,105,26,158,1.06,25,98,88,10
章丘,132,70,211,2.25,74,74,24,45
张掖,114,65,175,0.6,29,65,34,12
漳州,52,31,51,0.5,13,98,45,7
湛江,48,28,42,0.67,8,102,95,5
肇庆,78,57,71,0.8,29,85,47,15
昭通,60,33,68,0.75,18,104,77,16
招远,60,16,67,0.6,16,88,59,5
郑州,82,45,112,0.94,27,106,64,20
镇江,72,52,67,0.35,25,27,19,6
中山,62,43,72,0.68,44,110,40,13
中卫,122,46,191,0.67,4,110,94,8
周口,77,40,101,0.9,21,107,74,14
舟山,23,12,22,0.6,20,54,28,7
珠海,48,33,47,0.55,31,112,63,9
诸暨,0,0,0,0.0,0,0,0,0
驻马店,70,38,88,0.97,22,100,64,20
株洲,72,52,88,0.61,33,52,18,26
淄博,103,65,153,1.43,57,107,36,30
自贡,124,93,132,1.2,51,33,26,19
资阳,66,43,80,0.7,25,94,65,7
遵义,46,26,45,0.65,33,45,43,7
